

ESTACIÓN: Arnego_Ulla
CONCELLO: Agolada
PROVINCIA: Pontevedra

CÓDIGOS DE VALIDACIÓN DOS DATOS:
0:  Dato sen control de calidade
1:  Dato correcto
2:  Dato probablente correcto
3:  Dato incorrecto susceptible de ser correxido
4:  Dato erróneo
5:  Non usado
6:  Non usado
7:  Non usado
8:  Non usado
9:  Dato non rexistrado


Nota: O valor -9999 indicará dato non rexistrado

Tipo de consulta: Variables diarias
Período:1/1/1990-17/07/2018


COD.VALIDACIÓN  DATA          PARÁMETRO (Unidades)                     VALOR
      1          05/10/2012    Nivel Medio da Auga (m)                   1
      1          06/10/2012    Nivel Medio da Auga (m)                   1
      1          07/10/2012    Nivel Medio da Auga (m)                   1
      1          08/10/2012    Nivel Medio da Auga (m)                   0,9
      1          09/10/2012    Nivel Medio da Auga (m)                   1
      1          10/10/2012    Nivel Medio da Auga (m)                   1
      1          11/10/2012    Nivel Medio da Auga (m)                   1
      1          12/10/2012    Nivel Medio da Auga (m)                   1
      1          13/10/2012    Nivel Medio da Auga (m)                   1
      1          14/10/2012    Nivel Medio da Auga (m)                   1
      1          15/10/2012    Nivel Medio da Auga (m)                   1
      1          16/10/2012    Nivel Medio da Auga (m)                   1
      1          17/10/2012    Nivel Medio da Auga (m)                   1,1
      1          18/10/2012    Nivel Medio da Auga (m)                   1,2
      1          19/10/2012    Nivel Medio da Auga (m)                   1,1
      1          20/10/2012    Nivel Medio da Auga (m)                   1,1
      1          21/10/2012    Nivel Medio da Auga (m)                   1
      1          22/10/2012    Nivel Medio da Auga (m)                   1
      1          23/10/2012    Nivel Medio da Auga (m)                   1
      1          24/10/2012    Nivel Medio da Auga (m)                   1
      1          25/10/2012    Nivel Medio da Auga (m)                   1
      1          26/10/2012    Nivel Medio da Auga (m)                   1
      1          27/10/2012    Nivel Medio da Auga (m)                   1
      1          28/10/2012    Nivel Medio da Auga (m)                   1
      1          29/10/2012    Nivel Medio da Auga (m)                   1
      1          30/10/2012    Nivel Medio da Auga (m)                   1
      1          31/10/2012    Nivel Medio da Auga (m)                   1
      1          01/11/2012    Nivel Medio da Auga (m)                   1
      1          02/11/2012    Nivel Medio da Auga (m)                   1,1
      1          03/11/2012    Nivel Medio da Auga (m)                   1,1
      1          04/11/2012    Nivel Medio da Auga (m)                   1,1
      1          05/11/2012    Nivel Medio da Auga (m)                   1,1
      1          06/11/2012    Nivel Medio da Auga (m)                   1,1
      1          07/11/2012    Nivel Medio da Auga (m)                   1,1
      1          08/11/2012    Nivel Medio da Auga (m)                   1,1
      1          09/11/2012    Nivel Medio da Auga (m)                   1,3
      1          10/11/2012    Nivel Medio da Auga (m)                   1,2
      1          11/11/2012    Nivel Medio da Auga (m)                   1,3
      1          12/11/2012    Nivel Medio da Auga (m)                   1,2
      1          13/11/2012    Nivel Medio da Auga (m)                   1,2
      1          14/11/2012    Nivel Medio da Auga (m)                   1,2
      1          15/11/2012    Nivel Medio da Auga (m)                   1,1
      1          16/11/2012    Nivel Medio da Auga (m)                   1,1
      1          17/11/2012    Nivel Medio da Auga (m)                   1,2
      1          18/11/2012    Nivel Medio da Auga (m)                   1,3
      1          19/11/2012    Nivel Medio da Auga (m)                   1,2
      1          20/11/2012    Nivel Medio da Auga (m)                   1,2
      1          21/11/2012    Nivel Medio da Auga (m)                   1,3
      1          22/11/2012    Nivel Medio da Auga (m)                   1,2
      1          23/11/2012    Nivel Medio da Auga (m)                   1,2
      1          24/11/2012    Nivel Medio da Auga (m)                   1,2
      1          25/11/2012    Nivel Medio da Auga (m)                   1,2
      1          26/11/2012    Nivel Medio da Auga (m)                   1,2
      1          27/11/2012    Nivel Medio da Auga (m)                   1,2
      1          28/11/2012    Nivel Medio da Auga (m)                   1,2
      1          29/11/2012    Nivel Medio da Auga (m)                   1,2
      1          30/11/2012    Nivel Medio da Auga (m)                   1,4
      1          01/12/2012    Nivel Medio da Auga (m)                   1,3
      1          02/12/2012    Nivel Medio da Auga (m)                   1,3
      1          03/12/2012    Nivel Medio da Auga (m)                   1,3
      1          04/12/2012    Nivel Medio da Auga (m)                   1,4
      1          05/12/2012    Nivel Medio da Auga (m)                   1,3
      1          06/12/2012    Nivel Medio da Auga (m)                   1,3
      1          07/12/2012    Nivel Medio da Auga (m)                   1,4
      1          08/12/2012    Nivel Medio da Auga (m)                   1,3
      1          09/12/2012    Nivel Medio da Auga (m)                   1,3
      1          10/12/2012    Nivel Medio da Auga (m)                   1,3
      1          11/12/2012    Nivel Medio da Auga (m)                   1,3
      1          12/12/2012    Nivel Medio da Auga (m)                   1,3
      1          13/12/2012    Nivel Medio da Auga (m)                   1,3
      1          14/12/2012    Nivel Medio da Auga (m)                   2,4
      1          15/12/2012    Nivel Medio da Auga (m)                   2,1
      1          16/12/2012    Nivel Medio da Auga (m)                   2
      1          17/12/2012    Nivel Medio da Auga (m)                   1,8
      1          18/12/2012    Nivel Medio da Auga (m)                   1,7
      1          19/12/2012    Nivel Medio da Auga (m)                   1,6
      1          20/12/2012    Nivel Medio da Auga (m)                   2,1
      1          21/12/2012    Nivel Medio da Auga (m)                   1,8
      1          22/12/2012    Nivel Medio da Auga (m)                   1,7
      1          23/12/2012    Nivel Medio da Auga (m)                   1,6
      9          24/12/2012    Nivel Medio da Auga (m)                   -9999
      1          25/12/2012    Nivel Medio da Auga (m)                   1,8
      1          26/12/2012    Nivel Medio da Auga (m)                   1,6
      1          27/12/2012    Nivel Medio da Auga (m)                   1,6
      1          28/12/2012    Nivel Medio da Auga (m)                   1,5
      1          29/12/2012    Nivel Medio da Auga (m)                   1,7
      1          30/12/2012    Nivel Medio da Auga (m)                   1,6
      1          31/12/2012    Nivel Medio da Auga (m)                   1,6
      1          01/01/2013    Nivel Medio da Auga (m)                   1,7
      1          02/01/2013    Nivel Medio da Auga (m)                   1,6
      1          03/01/2013    Nivel Medio da Auga (m)                   1,5
      1          04/01/2013    Nivel Medio da Auga (m)                   1,5
      1          05/01/2013    Nivel Medio da Auga (m)                   1,5
      1          06/01/2013    Nivel Medio da Auga (m)                   1,5
      1          07/01/2013    Nivel Medio da Auga (m)                   1,5
      1          08/01/2013    Nivel Medio da Auga (m)                   1,5
      1          09/01/2013    Nivel Medio da Auga (m)                   1,5
      1          10/01/2013    Nivel Medio da Auga (m)                   1,5
      1          17/01/2013    Nivel Medio da Auga (m)                   1,7
      1          18/01/2013    Nivel Medio da Auga (m)                   2,9
      1          19/01/2013    Nivel Medio da Auga (m)                   3,1
      1          20/01/2013    Nivel Medio da Auga (m)                   2,3
      1          21/01/2013    Nivel Medio da Auga (m)                   2,1
      1          22/01/2013    Nivel Medio da Auga (m)                   2,3
      1          23/01/2013    Nivel Medio da Auga (m)                   2,1
      1          24/01/2013    Nivel Medio da Auga (m)                   2,1
      1          25/01/2013    Nivel Medio da Auga (m)                   2
      1          26/01/2013    Nivel Medio da Auga (m)                   1,9
      1          27/01/2013    Nivel Medio da Auga (m)                   2
      1          28/01/2013    Nivel Medio da Auga (m)                   2
      1          29/01/2013    Nivel Medio da Auga (m)                   1,8
      1          30/01/2013    Nivel Medio da Auga (m)                   1,8
      1          31/01/2013    Nivel Medio da Auga (m)                   1,8
      1          01/02/2013    Nivel Medio da Auga (m)                   1,9
      1          02/02/2013    Nivel Medio da Auga (m)                   2,1
      1          03/02/2013    Nivel Medio da Auga (m)                   1,8
      1          04/02/2013    Nivel Medio da Auga (m)                   1,8
      1          05/02/2013    Nivel Medio da Auga (m)                   1,7
      1          06/02/2013    Nivel Medio da Auga (m)                   1,8
      1          07/02/2013    Nivel Medio da Auga (m)                   1,7
      1          08/02/2013    Nivel Medio da Auga (m)                   1,7
      1          09/02/2013    Nivel Medio da Auga (m)                   1,6
      1          10/02/2013    Nivel Medio da Auga (m)                   1,7
      1          11/02/2013    Nivel Medio da Auga (m)                   1,9
      1          12/02/2013    Nivel Medio da Auga (m)                   1,9
      1          13/02/2013    Nivel Medio da Auga (m)                   1,9
      1          14/02/2013    Nivel Medio da Auga (m)                   1,7
      1          15/02/2013    Nivel Medio da Auga (m)                   1,7
      1          16/02/2013    Nivel Medio da Auga (m)                   1,7
      1          17/02/2013    Nivel Medio da Auga (m)                   1,6
      1          18/02/2013    Nivel Medio da Auga (m)                   1,6
      1          19/02/2013    Nivel Medio da Auga (m)                   1,6
      1          20/02/2013    Nivel Medio da Auga (m)                   1,6
      1          21/02/2013    Nivel Medio da Auga (m)                   1,6
      1          22/02/2013    Nivel Medio da Auga (m)                   1,7
      1          23/02/2013    Nivel Medio da Auga (m)                   1,6
      1          24/02/2013    Nivel Medio da Auga (m)                   1,6
      1          25/02/2013    Nivel Medio da Auga (m)                   1,6
      1          26/02/2013    Nivel Medio da Auga (m)                   1,5
      1          27/02/2013    Nivel Medio da Auga (m)                   1,5
      1          28/02/2013    Nivel Medio da Auga (m)                   1,5
      1          01/03/2013    Nivel Medio da Auga (m)                   1,5
      1          02/03/2013    Nivel Medio da Auga (m)                   1,5
      1          03/03/2013    Nivel Medio da Auga (m)                   1,5
      1          04/03/2013    Nivel Medio da Auga (m)                   1,5
      1          05/03/2013    Nivel Medio da Auga (m)                   1,5
      1          06/03/2013    Nivel Medio da Auga (m)                   1,5
      1          07/03/2013    Nivel Medio da Auga (m)                   1,6
      1          08/03/2013    Nivel Medio da Auga (m)                   1,6
      1          09/03/2013    Nivel Medio da Auga (m)                   1,6
      1          10/03/2013    Nivel Medio da Auga (m)                   1,9
      1          11/03/2013    Nivel Medio da Auga (m)                   2,5
      1          12/03/2013    Nivel Medio da Auga (m)                   2,2
      1          13/03/2013    Nivel Medio da Auga (m)                   1,9
      1          14/03/2013    Nivel Medio da Auga (m)                   1,8
      1          15/03/2013    Nivel Medio da Auga (m)                   1,8
      1          16/03/2013    Nivel Medio da Auga (m)                   1,7
      1          17/03/2013    Nivel Medio da Auga (m)                   1,7
      1          18/03/2013    Nivel Medio da Auga (m)                   1,7
      1          19/03/2013    Nivel Medio da Auga (m)                   1,6
      1          20/03/2013    Nivel Medio da Auga (m)                   1,6
      1          21/03/2013    Nivel Medio da Auga (m)                   1,6
      1          22/03/2013    Nivel Medio da Auga (m)                   1,7
      1          23/03/2013    Nivel Medio da Auga (m)                   1,6
      1          24/03/2013    Nivel Medio da Auga (m)                   1,7
      1          25/03/2013    Nivel Medio da Auga (m)                   1,9
      1          26/03/2013    Nivel Medio da Auga (m)                   2
      1          27/03/2013    Nivel Medio da Auga (m)                   2,1
      1          28/03/2013    Nivel Medio da Auga (m)                   2
      1          29/03/2013    Nivel Medio da Auga (m)                   2,2
      1          30/03/2013    Nivel Medio da Auga (m)                   2,1
      1          31/03/2013    Nivel Medio da Auga (m)                   1,9
      1          01/04/2013    Nivel Medio da Auga (m)                   2
      1          02/04/2013    Nivel Medio da Auga (m)                   2,1
      1          03/04/2013    Nivel Medio da Auga (m)                   1,9
      1          04/04/2013    Nivel Medio da Auga (m)                   1,9
      1          05/04/2013    Nivel Medio da Auga (m)                   1,8
      1          06/04/2013    Nivel Medio da Auga (m)                   1,7
      1          07/04/2013    Nivel Medio da Auga (m)                   1,7
      1          08/04/2013    Nivel Medio da Auga (m)                   1,8
      1          09/04/2013    Nivel Medio da Auga (m)                   1,8
      1          10/04/2013    Nivel Medio da Auga (m)                   1,7
      1          11/04/2013    Nivel Medio da Auga (m)                   2,7
      1          12/04/2013    Nivel Medio da Auga (m)                   2,2
      1          13/04/2013    Nivel Medio da Auga (m)                   1,9
      1          14/04/2013    Nivel Medio da Auga (m)                   1,8
      1          15/04/2013    Nivel Medio da Auga (m)                   1,8
      1          16/04/2013    Nivel Medio da Auga (m)                   1,7
      1          17/04/2013    Nivel Medio da Auga (m)                   1,7
      1          18/04/2013    Nivel Medio da Auga (m)                   1,7
      1          19/04/2013    Nivel Medio da Auga (m)                   1,6
      1          20/04/2013    Nivel Medio da Auga (m)                   1,6
      1          21/04/2013    Nivel Medio da Auga (m)                   1,6
      1          22/04/2013    Nivel Medio da Auga (m)                   1,5
      1          23/04/2013    Nivel Medio da Auga (m)                   1,5
      1          24/04/2013    Nivel Medio da Auga (m)                   1,5
      1          25/04/2013    Nivel Medio da Auga (m)                   1,5
      1          26/04/2013    Nivel Medio da Auga (m)                   1,5
      1          27/04/2013    Nivel Medio da Auga (m)                   1,5
      1          28/04/2013    Nivel Medio da Auga (m)                   1,5
      1          29/04/2013    Nivel Medio da Auga (m)                   1,5
      1          30/04/2013    Nivel Medio da Auga (m)                   1,5
      1          01/05/2013    Nivel Medio da Auga (m)                   1,4
      1          02/05/2013    Nivel Medio da Auga (m)                   1,4
      1          03/05/2013    Nivel Medio da Auga (m)                   1,4
      1          04/05/2013    Nivel Medio da Auga (m)                   1,4
      1          05/05/2013    Nivel Medio da Auga (m)                   1,4
      1          06/05/2013    Nivel Medio da Auga (m)                   1,4
      1          07/05/2013    Nivel Medio da Auga (m)                   1,4
      1          08/05/2013    Nivel Medio da Auga (m)                   1,4
      1          09/05/2013    Nivel Medio da Auga (m)                   1,4
      1          10/05/2013    Nivel Medio da Auga (m)                   1,4
      1          11/05/2013    Nivel Medio da Auga (m)                   1,3
      1          12/05/2013    Nivel Medio da Auga (m)                   1,3
      1          13/05/2013    Nivel Medio da Auga (m)                   1,3
      1          14/05/2013    Nivel Medio da Auga (m)                   1,3
      1          15/05/2013    Nivel Medio da Auga (m)                   1,3
      1          16/05/2013    Nivel Medio da Auga (m)                   1,3
      1          17/05/2013    Nivel Medio da Auga (m)                   1,4
      1          18/05/2013    Nivel Medio da Auga (m)                   1,4
      1          19/05/2013    Nivel Medio da Auga (m)                   1,4
      1          20/05/2013    Nivel Medio da Auga (m)                   1,4
      1          21/05/2013    Nivel Medio da Auga (m)                   1,3
      1          22/05/2013    Nivel Medio da Auga (m)                   1,3
      1          23/05/2013    Nivel Medio da Auga (m)                   1,3
      1          24/05/2013    Nivel Medio da Auga (m)                   1,3
      1          25/05/2013    Nivel Medio da Auga (m)                   1,3
      1          26/05/2013    Nivel Medio da Auga (m)                   1,3
      1          27/05/2013    Nivel Medio da Auga (m)                   1,2
      1          28/05/2013    Nivel Medio da Auga (m)                   1,3
      1          29/05/2013    Nivel Medio da Auga (m)                   1,3
      1          30/05/2013    Nivel Medio da Auga (m)                   1,3
      1          31/05/2013    Nivel Medio da Auga (m)                   1,3
      1          01/06/2013    Nivel Medio da Auga (m)                   1,2
      1          02/06/2013    Nivel Medio da Auga (m)                   1,2
      1          03/06/2013    Nivel Medio da Auga (m)                   1,2
      9          04/06/2013    Nivel Medio da Auga (m)                   -9999
      9          05/06/2013    Nivel Medio da Auga (m)                   -9999
      1          06/06/2013    Nivel Medio da Auga (m)                   1,2
      1          07/06/2013    Nivel Medio da Auga (m)                   1,2
      1          08/06/2013    Nivel Medio da Auga (m)                   1,2
      1          09/06/2013    Nivel Medio da Auga (m)                   1,2
      1          10/06/2013    Nivel Medio da Auga (m)                   1,2
      1          11/06/2013    Nivel Medio da Auga (m)                   1,2
      1          12/06/2013    Nivel Medio da Auga (m)                   1,2
      1          13/06/2013    Nivel Medio da Auga (m)                   1,2
      1          14/06/2013    Nivel Medio da Auga (m)                   1,2
      1          15/06/2013    Nivel Medio da Auga (m)                   1,2
      1          16/06/2013    Nivel Medio da Auga (m)                   1,2
      1          17/06/2013    Nivel Medio da Auga (m)                   1,2
      1          18/06/2013    Nivel Medio da Auga (m)                   1,2
      1          19/06/2013    Nivel Medio da Auga (m)                   1,2
      1          20/06/2013    Nivel Medio da Auga (m)                   1,2
      1          21/06/2013    Nivel Medio da Auga (m)                   1,2
      1          22/06/2013    Nivel Medio da Auga (m)                   1,2
      1          23/06/2013    Nivel Medio da Auga (m)                   1,2
      1          24/06/2013    Nivel Medio da Auga (m)                   1,2
      1          25/06/2013    Nivel Medio da Auga (m)                   1,1
      1          26/06/2013    Nivel Medio da Auga (m)                   1,1
      1          27/06/2013    Nivel Medio da Auga (m)                   1,1
      1          28/06/2013    Nivel Medio da Auga (m)                   1,1
      1          29/06/2013    Nivel Medio da Auga (m)                   1,1
      1          30/06/2013    Nivel Medio da Auga (m)                   1,1
      1          01/07/2013    Nivel Medio da Auga (m)                   1,1
      1          02/07/2013    Nivel Medio da Auga (m)                   1,1
      1          03/07/2013    Nivel Medio da Auga (m)                   1,1
      1          04/07/2013    Nivel Medio da Auga (m)                   1,1
      1          05/07/2013    Nivel Medio da Auga (m)                   1,1
      1          06/07/2013    Nivel Medio da Auga (m)                   1,1
      1          07/07/2013    Nivel Medio da Auga (m)                   1,1
      1          08/07/2013    Nivel Medio da Auga (m)                   1
      1          09/07/2013    Nivel Medio da Auga (m)                   1
      1          10/07/2013    Nivel Medio da Auga (m)                   1
      1          11/07/2013    Nivel Medio da Auga (m)                   1
      1          12/07/2013    Nivel Medio da Auga (m)                   1
      1          13/07/2013    Nivel Medio da Auga (m)                   1
      1          14/07/2013    Nivel Medio da Auga (m)                   1
      1          15/07/2013    Nivel Medio da Auga (m)                   1
      1          16/07/2013    Nivel Medio da Auga (m)                   1
      1          17/07/2013    Nivel Medio da Auga (m)                   1
      1          18/07/2013    Nivel Medio da Auga (m)                   1
      1          19/07/2013    Nivel Medio da Auga (m)                   1
      1          20/07/2013    Nivel Medio da Auga (m)                   1
      1          21/07/2013    Nivel Medio da Auga (m)                   1
      1          22/07/2013    Nivel Medio da Auga (m)                   1
      1          23/07/2013    Nivel Medio da Auga (m)                   1
      1          24/07/2013    Nivel Medio da Auga (m)                   1
      1          25/07/2013    Nivel Medio da Auga (m)                   1
      1          26/07/2013    Nivel Medio da Auga (m)                   1
      1          27/07/2013    Nivel Medio da Auga (m)                   1
      1          28/07/2013    Nivel Medio da Auga (m)                   1
      1          29/07/2013    Nivel Medio da Auga (m)                   1
      1          30/07/2013    Nivel Medio da Auga (m)                   1
      1          31/07/2013    Nivel Medio da Auga (m)                   1
      1          01/08/2013    Nivel Medio da Auga (m)                   1
      1          02/08/2013    Nivel Medio da Auga (m)                   1
      1          03/08/2013    Nivel Medio da Auga (m)                   1
      1          04/08/2013    Nivel Medio da Auga (m)                   1
      1          05/08/2013    Nivel Medio da Auga (m)                   1
      1          06/08/2013    Nivel Medio da Auga (m)                   1
      1          07/08/2013    Nivel Medio da Auga (m)                   1
      1          08/08/2013    Nivel Medio da Auga (m)                   1
      1          09/08/2013    Nivel Medio da Auga (m)                   1
      1          10/08/2013    Nivel Medio da Auga (m)                   1
      1          11/08/2013    Nivel Medio da Auga (m)                   1
      1          29/08/2013    Nivel Medio da Auga (m)                   0,9
      1          02/09/2013    Nivel Medio da Auga (m)                   0,9
      1          03/09/2013    Nivel Medio da Auga (m)                   0,9
      1          04/09/2013    Nivel Medio da Auga (m)                   0,9
      1          05/09/2013    Nivel Medio da Auga (m)                   0,9
      1          06/09/2013    Nivel Medio da Auga (m)                   0,9
      1          07/09/2013    Nivel Medio da Auga (m)                   0,9
      1          08/09/2013    Nivel Medio da Auga (m)                   0,9
      1          09/09/2013    Nivel Medio da Auga (m)                   0,9
      1          10/09/2013    Nivel Medio da Auga (m)                   0,9
      1          11/09/2013    Nivel Medio da Auga (m)                   0,9
      1          12/09/2013    Nivel Medio da Auga (m)                   0,9
      1          13/09/2013    Nivel Medio da Auga (m)                   0,9
      1          14/09/2013    Nivel Medio da Auga (m)                   0,9
      1          15/09/2013    Nivel Medio da Auga (m)                   0,9
      1          16/09/2013    Nivel Medio da Auga (m)                   0,9
      1          17/09/2013    Nivel Medio da Auga (m)                   0,9
      1          18/09/2013    Nivel Medio da Auga (m)                   0,9
      1          19/09/2013    Nivel Medio da Auga (m)                   0,9
      1          20/09/2013    Nivel Medio da Auga (m)                   0,9
      1          21/09/2013    Nivel Medio da Auga (m)                   0,9
      1          22/09/2013    Nivel Medio da Auga (m)                   0,9
      1          23/09/2013    Nivel Medio da Auga (m)                   0,9
      1          24/09/2013    Nivel Medio da Auga (m)                   0,9
      1          25/09/2013    Nivel Medio da Auga (m)                   0,9
      1          26/09/2013    Nivel Medio da Auga (m)                   0,9
      1          27/09/2013    Nivel Medio da Auga (m)                   0,9
      1          28/09/2013    Nivel Medio da Auga (m)                   1,2
      1          29/09/2013    Nivel Medio da Auga (m)                   1,1
      1          30/09/2013    Nivel Medio da Auga (m)                   1
      1          01/10/2013    Nivel Medio da Auga (m)                   1
      1          02/10/2013    Nivel Medio da Auga (m)                   1
      1          03/10/2013    Nivel Medio da Auga (m)                   1,1
      1          04/10/2013    Nivel Medio da Auga (m)                   1,1
      1          05/10/2013    Nivel Medio da Auga (m)                   1,1
      1          06/10/2013    Nivel Medio da Auga (m)                   1
      1          07/10/2013    Nivel Medio da Auga (m)                   1
      1          08/10/2013    Nivel Medio da Auga (m)                   1
      1          09/10/2013    Nivel Medio da Auga (m)                   1
      1          10/10/2013    Nivel Medio da Auga (m)                   1
      1          11/10/2013    Nivel Medio da Auga (m)                   1
      1          12/10/2013    Nivel Medio da Auga (m)                   1
      1          13/10/2013    Nivel Medio da Auga (m)                   1
      1          14/10/2013    Nivel Medio da Auga (m)                   1
      1          15/10/2013    Nivel Medio da Auga (m)                   1
      1          16/10/2013    Nivel Medio da Auga (m)                   1
      1          17/10/2013    Nivel Medio da Auga (m)                   1,1
      1          18/10/2013    Nivel Medio da Auga (m)                   1
      1          19/10/2013    Nivel Medio da Auga (m)                   1,2
      1          20/10/2013    Nivel Medio da Auga (m)                   1,2
      1          21/10/2013    Nivel Medio da Auga (m)                   1,2
      1          22/10/2013    Nivel Medio da Auga (m)                   2
      1          23/10/2013    Nivel Medio da Auga (m)                   1,5
      1          24/10/2013    Nivel Medio da Auga (m)                   1,5
      1          25/10/2013    Nivel Medio da Auga (m)                   1,7
      1          26/10/2013    Nivel Medio da Auga (m)                   1,5
      1          27/10/2013    Nivel Medio da Auga (m)                   1,4
      1          28/10/2013    Nivel Medio da Auga (m)                   1,4
      1          29/10/2013    Nivel Medio da Auga (m)                   1,4
      3          30/10/2013    Nivel Medio da Auga (m)                   133
      3          31/10/2013    Nivel Medio da Auga (m)                   131
      1          01/11/2013    Nivel Medio da Auga (m)                   1,3
      1          02/11/2013    Nivel Medio da Auga (m)                   2,1
      1          03/11/2013    Nivel Medio da Auga (m)                   1,7
      1          04/11/2013    Nivel Medio da Auga (m)                   1,9
      1          05/11/2013    Nivel Medio da Auga (m)                   1,9
      1          06/11/2013    Nivel Medio da Auga (m)                   1,7
      1          07/11/2013    Nivel Medio da Auga (m)                   1,6
      1          08/11/2013    Nivel Medio da Auga (m)                   1,8
      1          09/11/2013    Nivel Medio da Auga (m)                   1,7
      1          10/11/2013    Nivel Medio da Auga (m)                   1,7
      3          11/11/2013    Nivel Medio da Auga (m)                   158
      1          12/11/2013    Nivel Medio da Auga (m)                   1,5
      1          13/11/2013    Nivel Medio da Auga (m)                   1,5
      1          14/11/2013    Nivel Medio da Auga (m)                   1,5
      1          15/11/2013    Nivel Medio da Auga (m)                   1,5
      1          16/11/2013    Nivel Medio da Auga (m)                   1,5
      1          17/11/2013    Nivel Medio da Auga (m)                   1,4
      1          18/11/2013    Nivel Medio da Auga (m)                   1,4
      1          19/11/2013    Nivel Medio da Auga (m)                   1,4
      1          20/11/2013    Nivel Medio da Auga (m)                   1,4
      1          21/11/2013    Nivel Medio da Auga (m)                   1,4
      1          22/11/2013    Nivel Medio da Auga (m)                   1,4
      1          23/11/2013    Nivel Medio da Auga (m)                   1,4
      1          24/11/2013    Nivel Medio da Auga (m)                   1,4
      1          25/11/2013    Nivel Medio da Auga (m)                   1,3
      1          26/11/2013    Nivel Medio da Auga (m)                   1,3
      1          27/11/2013    Nivel Medio da Auga (m)                   1,3
      1          28/11/2013    Nivel Medio da Auga (m)                   1,3
      1          29/11/2013    Nivel Medio da Auga (m)                   1,3
      1          30/11/2013    Nivel Medio da Auga (m)                   1,3
      1          01/12/2013    Nivel Medio da Auga (m)                   1,3
      1          02/12/2013    Nivel Medio da Auga (m)                   1,3
      1          03/12/2013    Nivel Medio da Auga (m)                   1,3
      1          04/12/2013    Nivel Medio da Auga (m)                   1,3
      1          05/12/2013    Nivel Medio da Auga (m)                   1,3
      1          06/12/2013    Nivel Medio da Auga (m)                   1,2
      1          07/12/2013    Nivel Medio da Auga (m)                   1,2
      1          08/12/2013    Nivel Medio da Auga (m)                   1,2
      1          09/12/2013    Nivel Medio da Auga (m)                   1,2
      1          10/12/2013    Nivel Medio da Auga (m)                   1,2
      1          11/12/2013    Nivel Medio da Auga (m)                   1,2
      1          12/12/2013    Nivel Medio da Auga (m)                   1,2
      1          13/12/2013    Nivel Medio da Auga (m)                   1,2
      1          14/12/2013    Nivel Medio da Auga (m)                   1,2
      1          15/12/2013    Nivel Medio da Auga (m)                   1,2
      1          16/12/2013    Nivel Medio da Auga (m)                   1,2
      1          17/12/2013    Nivel Medio da Auga (m)                   1,2
      1          18/12/2013    Nivel Medio da Auga (m)                   1,2
      1          19/12/2013    Nivel Medio da Auga (m)                   1,4
      1          20/12/2013    Nivel Medio da Auga (m)                   1,4
      1          21/12/2013    Nivel Medio da Auga (m)                   1,3
      1          22/12/2013    Nivel Medio da Auga (m)                   1,3
      1          23/12/2013    Nivel Medio da Auga (m)                   1,3
      1          24/12/2013    Nivel Medio da Auga (m)                   2,1
      1          25/12/2013    Nivel Medio da Auga (m)                   2
      1          26/12/2013    Nivel Medio da Auga (m)                   1,7
      1          27/12/2013    Nivel Medio da Auga (m)                   1,7
      1          28/12/2013    Nivel Medio da Auga (m)                   1,9
      1          29/12/2013    Nivel Medio da Auga (m)                   1,7
      1          30/12/2013    Nivel Medio da Auga (m)                   1,6
      1          31/12/2013    Nivel Medio da Auga (m)                   1,7
      1          01/01/2014    Nivel Medio da Auga (m)                   1,8
      1          02/01/2014    Nivel Medio da Auga (m)                   2
      1          03/01/2014    Nivel Medio da Auga (m)                   2,2
      1          04/01/2014    Nivel Medio da Auga (m)                   2,5
      1          05/01/2014    Nivel Medio da Auga (m)                   2
      1          06/01/2014    Nivel Medio da Auga (m)                   2,5
      1          07/01/2014    Nivel Medio da Auga (m)                   2,1
      1          08/01/2014    Nivel Medio da Auga (m)                   2
      1          09/01/2014    Nivel Medio da Auga (m)                   1,9
      1          10/01/2014    Nivel Medio da Auga (m)                   1,8
      1          11/01/2014    Nivel Medio da Auga (m)                   1,8
      1          12/01/2014    Nivel Medio da Auga (m)                   1,8
      1          13/01/2014    Nivel Medio da Auga (m)                   1,8
      1          14/01/2014    Nivel Medio da Auga (m)                   2
      1          15/01/2014    Nivel Medio da Auga (m)                   2
      1          16/01/2014    Nivel Medio da Auga (m)                   2,5
      1          17/01/2014    Nivel Medio da Auga (m)                   2,2
      1          18/01/2014    Nivel Medio da Auga (m)                   2
      1          19/01/2014    Nivel Medio da Auga (m)                   2
      1          20/01/2014    Nivel Medio da Auga (m)                   1,9
      1          21/01/2014    Nivel Medio da Auga (m)                   1,9
      1          22/01/2014    Nivel Medio da Auga (m)                   2
      1          23/01/2014    Nivel Medio da Auga (m)                   1,9
      1          24/01/2014    Nivel Medio da Auga (m)                   1,8
      1          25/01/2014    Nivel Medio da Auga (m)                   1,8
      1          26/01/2014    Nivel Medio da Auga (m)                   1,8
      1          27/01/2014    Nivel Medio da Auga (m)                   1,8
      1          28/01/2014    Nivel Medio da Auga (m)                   1,9
      1          29/01/2014    Nivel Medio da Auga (m)                   2,1
      1          30/01/2014    Nivel Medio da Auga (m)                   2
      1          31/01/2014    Nivel Medio da Auga (m)                   2
      1          01/02/2014    Nivel Medio da Auga (m)                   2,4
      1          02/02/2014    Nivel Medio da Auga (m)                   2
      1          03/02/2014    Nivel Medio da Auga (m)                   2,3
      1          04/02/2014    Nivel Medio da Auga (m)                   2,9
      1          05/02/2014    Nivel Medio da Auga (m)                   2,8
